Register Name,Register Description,Register Address,Register Width,Register Access,Register Reset Value,Register Constraints,Register Custom Type,Field Name,Field Description,Field Offset,Field Width,Field Access,Field Reset Value,Field is Covered,Field is Reserved,Field is Volatile,Field Constraints
rxtx0,RXTX0,0x0,32,RW,0x0,,,,,,,,,,,,
rxtx1,RXTX1,0x04,32,RW,0x0,,,,,,,,,,,,
rxtx2,RXTX2,0x08,32,RW,0x0,,,,,,,,,,,,
rxtx3,RXTX3,0x0C,32,RW,0x0,,,,,,,,,,,,
ctrl,Control Status Register,0x010,32,RW,0x0,,,ass,,13,1,RW,,TRUE,,,
ctrl,,,,,,,,ie,,12,1,RW,,TRUE,,,
ctrl,,,,,,,,lsb,,11,1,RW,,TRUE,,,
ctrl,,,,,,,,tx_neg,,10,1,RW,,TRUE,,,
ctrl,,,,,,,,rx_neg,,9,1,RW,,TRUE,,,
ctrl,,,,,,,,go_bsy,,8,1,RW,,TRUE,,,
ctrl,,,,,,,,reserved2,,7,1,RW,,FALSE,,,
ctrl,,,,,,,,char_len,,0,7,RW,,TRUE,,,
divider,Divider,0x014,32,RW,0x0,,,ratio,,0,16,RW,,TRUE,,,
ss,Status,0x018,32,RW,0x0,,,reserved,,8,8,RW,,FALSE,,,
ss,,,,,,,,cs,,0,8,RW,,TRUE,,,
